Description;Part;References;Value;Qty;lcsc#;mpn;variant
;Sparkfun_Pro_Micro;A1;Sparkfun_Pro_Micro;1;;;
Unpolarized capacitor;C;C2;100n;1;C14663;C0603C104M4RACTU;3V3, 5V
Unpolarized capacitor;C;C5;100n;1;C14663;C0603C104M4RACTU;
Unpolarized capacitor;C;C6;1µ;1;C15849;C0603X105K9RACAUTO;
Unpolarized capacitor;C;C3;4.7µ;1;C19666;CL10A475KO8NNNC;
Unpolarized capacitor;C;C7;4.7µ;1;C19666;CL10A475KO8NNNC;
Unpolarized capacitor;C;C1;10µ;1;C19702;CL10A106KP8NNNC;3V3, 5V
Unpolarized capacitor;C;C4;10µ;1;C19702;CL10A106KP8NNNC;
Diode;D;D1;D;1;;;3V3, 5V
Fuse;Fuse;F1;500mA;1;C135323;04000025WR;
Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x02;J1;JST;1;;;3V3, 5V
Solder Jumper, 3-pole, open;SolderJumper_3_Open;JP1;SolderJumper_3_Open;1;;;
Inductor;L;L1;6.8µ/2A;1;C354631;744787068;
Open Hardware logo, small;Logo_Open_Hardware_Small;LOGO1;Logo_Open_Hardware_Small;1;;;
Resistor;R;R3;2k;1;C22975;0603WAF2001T5E;
Resistor;R;R4;200k;1;C25811;0603WAF2003T5E;
Resistor;R;R8;200k;1;C25811;0603WAF2003T5E;
Resistor;R;R1;390k;1;C23150;0603WAF3903T5E;
Resistor;R;R2;390k;1;C23150;0603WAF3903T5E;
Resistor;R;R6;390k;1;C23150;0603WAF3903T5E;
Resistor;R;R7;1.1M;1;C169875;RM06FTN1104;
Resistor;R;R5;2.4M;1;C367738;WR06W2404FTL;
Single cell, Li-Ion/Li-Po charge management controller, 4.20V, Tri-State Status Output, in SOT23-5 package;MCP73831-2-OT;U1;MCP73831-2-OT;1;C14879;MCP73831T-2ACI/OT;3V3, 5V
2A Step-Up DC-DC Converter for Batteries, Isw up to 2500mA, Adjustable output voltage, QFN-16;TPS61090;U2;TPS61090;1;C206167;TPS61090RSAR;3V3, 5V
