References;Description;Part;Value;Qty;variant;lcsc#;mpn
C12;Unpolarized capacitor;C;1.2pF;1;;C159809;CL05C1R2BB5NNNC
C2;Unpolarized capacitor;C;1.5pF;1;;C1552;0402CG1R5C500NT
C8;Unpolarized capacitor;C;1.8pF;1;;;
C6;Unpolarized capacitor;C;3.3pF;1;;C1565;0402CG3R3C500NT
C5;Unpolarized capacitor;C;4.7pF;1;;C1569;0402CG4R7C500NT
C1 C4;Unpolarized capacitor;C;15p;2;;C1548;0402CG150J500NT
C3;Unpolarized capacitor;C;33pF;1;;C1562;0402CG330J500NT
C7 C9 C15 C18;Unpolarized capacitor;C;47pF;4;;C1567;0402CG470J500NT
C13 C14;Unpolarized capacitor;C;1nF;2;;C1523;0402B102K500NT
C16 C17 C19 C20 C21;Unpolarized capacitor;C;100n;5;;C1525;CL05B104KO5NNNC
C22;Unpolarized capacitor;C;1µ;1;;C52923;CL05A105KA5NQNC
C23;Unpolarized capacitor;C;10µ;1;;C15525;CL05A106MQ5NUNC
C25;Unpolarized capacitor;C;F;1;;;
J2;Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x02;COAX;1;;;
J1;Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x02;SMA;1;;;
L5;Inductor;L;0R;1;;C17168;0402WGF0000TCE
L4;Inductor;L;6.2nH;1;;C87534;MLG1005S6N2ST000
L2 L3;Inductor;L;10nH;2;;C27147;SDCL1005C10NJTDF
L1;Inductor;L;33nH;1;;C87193;HK100533NJ-T
R1;Resistor;R;1k;1;;C11702;0402WGF1001TCE
U2;20 MHz to 4.0 GHz GaAs SPDT Switch, SC-70;AS179-92LF;AS179-92LF;1;;C83422;AS179-92LF
U1;137 MHz to 1020 MHz Low Power Long Range Transceiver, spreading factor from 6 to 12, LoRA, QFN-28;SX1276;SX1276;1;;;
Y1;Four pin crystal, GND on pins 2 and 4;Crystal_GND24;32Mhz;1;;C91742;X1E000021016300
