Comment,Designator,Package,variant,lcsc#,mpn
1.2pF,C12,C_0402_1005Metric,,C159809,CL05C1R2BB5NNNC
1.5pF,C2,C_0402_1005Metric,,C1552,0402CG1R5C500NT
1.8pF,C8,C_0402_1005Metric,,,
3.3pF,C6,C_0402_1005Metric,,C1565,0402CG3R3C500NT
4.7pF,C5,C_0402_1005Metric,,C1569,0402CG4R7C500NT
15p,C1,C_0402_1005Metric,,C1548,0402CG150J500NT
15p,C4,C_0402_1005Metric,,C1548,0402CG150J500NT
33pF,C3,C_0402_1005Metric,,C1562,0402CG330J500NT
47p,C15,C_0402_1005Metric,,C1567,0402CG470J500NT
47p,C18,C_0402_1005Metric,,C1567,0402CG470J500NT
47pF,C7,C_0402_1005Metric,,C1567,0402CG470J500NT
47p,C9,C_0402_1005Metric,,C1567,0402CG470J500NT
1nF,C13,C_0402_1005Metric,,C1523,0402B102K500NT
1nF,C14,C_0402_1005Metric,,C1523,0402B102K500NT
100n,C16,C_0402_1005Metric,,C1525,CL05B104KO5NNNC
100n,C17,C_0402_1005Metric,,C1525,CL05B104KO5NNNC
100n,C19,C_0402_1005Metric,,C1525,CL05B104KO5NNNC
100n,C20,C_0402_1005Metric,,C1525,CL05B104KO5NNNC
100n,C21,C_0402_1005Metric,,C1525,CL05B104KO5NNNC
1µ,C22,C_0402_1005Metric,,C52923,CL05A105KA5NQNC
10µ,C23,C_0603_1608Metric,,C15525,CL05A106MQ5NUNC
F,C25,C_0402_1005Metric,,,
COAX,J2,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,,,
SMA,J1,U.FL_Hirose_U.FL-R-SMT-1_Vertical,,,
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,,
0R,L5,L_0402_1005Metric,,C17168,0402WGF0000TCE
6.2nH,L4,L_0402_1005Metric,,C87534,MLG1005S6N2ST000
10nH,L2,L_0402_1005Metric,,C27147,SDCL1005C10NJTDF
10nH,L3,L_0402_1005Metric,,C27147,SDCL1005C10NJTDF
33nH,L1,L_0402_1005Metric,,C87193,HK100533NJ-T
Logo_Open_Hardware_Small,LOGO1,OSHW-Symbol_6.7x6mm_SilkScreen,,,
1k,R1,R_0402_1005Metric,,C11702,0402WGF1001TCE
AS179-92LF,U2,SOT-363_SC-70-6,,C83422,AS179-92LF
SX1276,U1,QFN-28-1EP_6x6mm_P0.65mm_EP4.8x4.8mm,,,
32Mhz,Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,,C91742,X1E000021016300
