Designator,Value,Mid X,Mid Y,Rotation,Layer
"C1","15p","66.0400","-87.6300","180.0000","top"
"C10","DNP","73.8100","-67.9450","0.0000","top"
"C11","DNP","69.2150","-67.9450","180.0000","top"
"C12","1.2pF","69.2150","-74.2950","270.0000","top"
"C13","1nF","73.8100","-69.2150","0.0000","top"
"C14","1nF","68.5800","-71.5010","180.0000","top"
"C15","47p","70.9930","-76.2000","90.0000","top"
"C16","100n","69.8500","-76.2000","270.0000","top"
"C17","100n","74.2950","-85.8750","90.0000","top"
"C18","47p","66.6750","-79.3750","90.0000","top"
"C19","100n","67.9450","-79.3750","270.0000","top"
"C2","1.5pF","74.2950","-76.2000","90.0000","top"
"C20","100n","67.3100","-81.2800","180.0000","top"
"C21","100n","67.3100","-77.4700","180.0000","top"
"C22","1µ","75.5650","-85.8750","270.0000","top"
"C23","10µ","76.8350","-85.5725","270.0000","top"
"C24","DNP","75.4380","-74.2950","90.0000","top"
"C25","F","72.0090","-76.2000","90.0000","top"
"C3","33pF","73.0250","-74.2950","270.0000","top"
"C4","15p","65.4050","-81.1300","90.0000","top"
"C5","4.7pF","67.9450","-74.2950","90.0000","top"
"C6","3.3pF","73.8100","-71.5010","180.0000","top"
"C7","47pF","73.8100","-72.5170","0.0000","top"
"C8","1.8pF","68.5800","-72.5170","180.0000","top"
"C9","47p","71.6050","-69.2150","180.0000","top"
"J1","SMA","71.1200","-64.3350","90.0000","top"
"J2","COAX","71.1200","-64.3350","90.0000","top"
"L1","33nH","73.0250","-76.2000","270.0000","top"
"L2","10nH","71.7550","-74.2950","270.0000","top"
"L3","10nH","74.2950","-74.2950","90.0000","top"
"L4","6.2nH","70.4850","-74.2950","90.0000","top"
"L5","0R","71.6050","-67.9450","180.0000","top"
"R1","1k","73.8100","-70.4850","180.0000","top"
"U1","SX1276","72.3900","-81.2800","0.0000","top"
"U2","AS179-92LF","71.1200","-71.5010","90.0000","top"
"Y1","32Mhz","66.3550","-84.7090","90.0000","top"
