References;Description;Part;Value;Qty;lcsc#;mpn
A1;;Sparkfun_Pro_Micro;Sparkfun_Pro_Micro_3V3;1;;
C5 C6;Unpolarized capacitor;C;27p;2;C19702;0402CG270J500NTN
C1 C3 C7 C8 C10 C11 C12;Unpolarized capacitor;C;100n;7;C1525;CL05B104KO5NNNC
C13 C14;Unpolarized capacitor;C;1µ;2;C15849;CL10A105KB8NNNC
C2;Unpolarized capacitor;C;4.7µ;1;C23733;CL05A475MP5NRNC
C9;Unpolarized capacitor;C;4.7µ;1;C19666;CL10A475KO8NNNC
C4;Unpolarized capacitor;C;10µ;1;C15525;CL10A106KP8NNNC
D2;Light emitting diode;LED;RX;1;C72043;19-217/GHC-YR1S2/3T
D1;Light emitting diode;LED;TX;1;C72043;19-217/GHC-YR1S2/3T
J2;Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/);Conn_01x06;Conn_01x06;1;;
J1;USB Mini Type B connector;USB_B_Mini;USB_B_Mini;1;;
L1;Inductor, small symbol;L_Small;0;1;;
R1 R2;Resistor;R;22;2;C25092;0402WGF220JTCE
R16 R17;Resistor;R;220;2;C22962;0603WAF2200T5E
R5;Resistor;R;1k;1;C21190;0603WAF1001T5E
R23;Resistor;R;2k;1;C22975;0603WAF2001T5E
R3 R4;Resistor;R;4k7;2;C25900;0402WGF4701TCE
R19 R20 R21;Resistor;R;10k;3;C25804;0603WAF1002T5E
R22;Resistor;R;12k;1;C25752;0402WGF1202TCE
R15;Resistor;R;39k;1;C25783;0402WGF3902TCE
U2;Serial EEPROM, 93 Series, 5.0V, DIP-8/SOIC-8;93CxxB;93CxxB;1;;
U3;1A 20V Fixed LDO Linear Regulator, 3.3V, SOT-89/SOT-223/TO-220/TO-252/TO-263;AZ1117-3.3;AZ1117-3.3;1;;
U1;Hi Speed Single Channel USB UART/FIFO, LQFP/QFN-48;FT232H;FT232H;1;C51997;FT232HL
Y1;Four pin crystal, GND on pins 2 and 4, small symbol;Crystal_GND24_Small;12MHz;1;;
